Variables,Exactitud,Precision,Sensibilidad,F1_Score,AUC
"['Desviacion', 'PUI', 'Velocidad_Media']",0.785,0.802,0.779,0.79,0.872
"['PUAL', 'Velocidad_Media', 'Frecuencia_Dom']",0.78,0.788,0.788,0.788,0.834
"['Media', 'PUI', 'PUAL']",0.775,0.776,0.798,0.787,0.868
"['Media', 'PUAL', 'Velocidad_Media']",0.775,0.776,0.798,0.787,0.861
"['PUAL', 'Velocidad_Media']",0.775,0.781,0.788,0.785,0.836
"['PUI', 'PUAL', 'Frecuencia_Dom']",0.775,0.781,0.788,0.785,0.832
"['Desviacion', 'Frecuencia_Dom']",0.775,0.781,0.788,0.785,0.849
"['PUI', 'PUAL']",0.775,0.781,0.788,0.785,0.84
"['RMS', 'PUAL', 'Velocidad_Media']",0.77,0.774,0.788,0.781,0.865
"['Dfi', 'Velocidad_Media']",0.77,0.774,0.788,0.781,0.858
"['RMS', 'PUI', 'PUAL']",0.77,0.774,0.788,0.781,0.861
"['PUAL_Ratio', 'Velocidad_Media', 'Frecuencia_Dom']",0.765,0.766,0.788,0.777,0.83
"['RMS', 'PUAL', 'Frecuencia_Dom']",0.765,0.766,0.788,0.777,0.849
"['PUI', 'PUAL_Ratio', 'Velocidad_Media']",0.755,0.739,0.817,0.776,0.8
"['PUI', 'Dfi']",0.76,0.775,0.76,0.767,0.86
"['PUAL', 'Dfi']",0.76,0.775,0.76,0.767,0.84
"['Media', 'RMS', 'PUAL']",0.75,0.755,0.769,0.762,0.842
['Desviacion'],0.76,0.786,0.74,0.762,0.861
"['Media', 'RMS', 'Velocidad_Media']",0.745,0.743,0.779,0.761,0.821
"['Media', 'RMS', 'PUI']",0.745,0.743,0.779,0.761,0.821
"['PUI', 'PUAL', 'Velocidad_Media']",0.75,0.765,0.75,0.757,0.837
"['RMS', 'PUAL']",0.74,0.75,0.75,0.75,0.839
['Dfi'],0.745,0.768,0.731,0.749,0.843
"['Media', 'PUI', 'Frecuencia_Dom']",0.73,0.727,0.769,0.748,0.815
"['Media', 'Velocidad_Media', 'Frecuencia_Dom']",0.73,0.727,0.769,0.748,0.815
"['PUAL_Ratio', 'Velocidad_Media']",0.72,0.711,0.779,0.743,0.786
"['PUI', 'PUAL_Ratio']",0.72,0.711,0.779,0.743,0.791
