Variables,N_Variables,Exactitud,Precision,Sensibilidad,F1_Score,AUC
Media + Desviacion + RMS + PUI + Velocidad_Media,5,0.875,0.907,0.846,0.876,0.952
Media + RMS + Dfi,3,0.875,0.907,0.846,0.876,0.951
Desviacion + PUI + Dfi + Velocidad_Media + Frecuencia_Dom,5,0.87,0.898,0.846,0.871,0.957
Media + Desviacion + PUI + Dfi,4,0.87,0.898,0.846,0.871,0.956
Media + Desviacion + PUAL + Frecuencia_Dom,4,0.87,0.898,0.846,0.871,0.953
PUAL + Dfi,2,0.87,0.898,0.846,0.871,0.948
Media + Desviacion + Dfi + Velocidad_Media,4,0.865,0.889,0.846,0.867,0.959
Desviacion + RMS + PUI + Velocidad_Media,4,0.865,0.889,0.846,0.867,0.95
Desviacion + PUI + Velocidad_Media + Frecuencia_Dom,4,0.86,0.88,0.846,0.863,0.951
Desviacion + PUI + PUAL_Ratio + Velocidad_Media,4,0.86,0.88,0.846,0.863,0.95
Desviacion + PUI + PUAL + PUAL_Ratio,4,0.855,0.871,0.846,0.859,0.949
RMS + PUI + Dfi + Frecuencia_Dom,4,0.855,0.871,0.846,0.859,0.944
Media + PUI + PUAL_Ratio + Velocidad_Media,4,0.845,0.854,0.846,0.85,0.941
Media + RMS + PUI + PUAL_Ratio + Velocidad_Media,5,0.845,0.854,0.846,0.85,0.936
PUI + PUAL_Ratio + Velocidad_Media,3,0.845,0.854,0.846,0.85,0.933
Media + PUAL_Ratio + Velocidad_Media,3,0.84,0.846,0.846,0.846,0.932
Media + RMS + PUAL_Ratio + Velocidad_Media + Frecuencia_Dom,5,0.835,0.838,0.846,0.842,0.935
Media + PUI + Velocidad_Media,3,0.835,0.838,0.846,0.842,0.911
RMS + PUI + Velocidad_Media,3,0.83,0.83,0.846,0.838,0.912
PUAL + Frecuencia_Dom,2,0.82,0.815,0.846,0.83,0.915
Media + Desviacion,2,0.875,0.916,0.837,0.874,0.962
Desviacion + RMS,2,0.875,0.916,0.837,0.874,0.956
PUAL_Ratio + Dfi,2,0.87,0.906,0.837,0.87,0.941
Desviacion + PUI + Dfi + Velocidad_Media,4,0.855,0.879,0.837,0.857,0.953
Media + RMS + PUI + Frecuencia_Dom,4,0.84,0.853,0.837,0.845,0.915
Media + RMS + Velocidad_Media + Frecuencia_Dom,4,0.84,0.853,0.837,0.845,0.915
Media + PUI + Frecuencia_Dom,3,0.83,0.837,0.837,0.837,0.904
Media + Velocidad_Media + Frecuencia_Dom,3,0.83,0.837,0.837,0.837,0.904
RMS + PUI + Frecuencia_Dom,3,0.825,0.829,0.837,0.833,0.905
RMS + Velocidad_Media + Frecuencia_Dom,3,0.825,0.829,0.837,0.833,0.905
PUAL_Ratio + Dfi + Velocidad_Media + Frecuencia_Dom,4,0.855,0.887,0.827,0.856,0.951
PUAL,1,0.835,0.851,0.827,0.839,0.921
RMS + PUI,2,0.825,0.835,0.827,0.831,0.912
RMS + Velocidad_Media,2,0.825,0.835,0.827,0.831,0.912
Media + RMS + PUI,3,0.82,0.827,0.827,0.827,0.911
Media + RMS + Velocidad_Media,3,0.82,0.827,0.827,0.827,0.911
Media + RMS + PUI + Velocidad_Media,4,0.815,0.819,0.827,0.823,0.908
Dfi + Frecuencia_Dom,2,0.82,0.833,0.817,0.825,0.923
Media + PUI,2,0.82,0.84,0.808,0.824,0.914
Media + Velocidad_Media,2,0.82,0.84,0.808,0.824,0.914
PUI + Velocidad_Media + Frecuencia_Dom,3,0.8,0.808,0.808,0.808,0.897
Dfi,1,0.805,0.822,0.798,0.81,0.916
PUI,1,0.785,0.79,0.798,0.794,0.897
Velocidad_Media,1,0.785,0.79,0.798,0.794,0.897
PUI + Velocidad_Media,2,0.785,0.79,0.798,0.794,0.897
PUI + Frecuencia_Dom,2,0.785,0.79,0.798,0.794,0.888
Velocidad_Media + Frecuencia_Dom,2,0.785,0.79,0.798,0.794,0.888
Media + RMS,2,0.72,0.755,0.683,0.717,0.8
Media,1,0.62,0.632,0.644,0.638,0.66
Media + RMS + Frecuencia_Dom,3,0.665,0.695,0.635,0.663,0.737
RMS + Frecuencia_Dom,2,0.62,0.635,0.635,0.635,0.677
RMS,1,0.59,0.602,0.625,0.613,0.644
Media + Frecuencia_Dom,2,0.615,0.634,0.615,0.624,0.671
Media + RMS + PUAL_Ratio + Frecuencia_Dom,4,0.67,0.721,0.596,0.653,0.717
Media + PUAL_Ratio + Frecuencia_Dom,3,0.605,0.632,0.577,0.603,0.622
RMS + PUAL_Ratio + Frecuencia_Dom,3,0.58,0.604,0.558,0.58,0.617
PUAL_Ratio + Frecuencia_Dom,2,0.49,0.509,0.548,0.528,0.494
Media + RMS + PUAL_Ratio,3,0.59,0.622,0.538,0.577,0.664
Frecuencia_Dom,1,0.49,0.509,0.519,0.514,0.482
Media + PUAL_Ratio,2,0.555,0.584,0.5,0.539,0.625
PUAL_Ratio,1,0.505,0.525,0.5,0.512,0.53
RMS + PUAL_Ratio,2,0.535,0.562,0.481,0.518,0.593
