fpr,tpr
0.0,0.0
0.0,0.5
0.010416666666666666,0.5576923076923077
0.010416666666666666,0.6346153846153846
0.010416666666666666,0.6442307692307693
0.020833333333333332,0.6442307692307693
0.020833333333333332,0.6538461538461539
0.03125,0.6634615384615384
0.03125,0.6826923076923077
0.03125,0.7019230769230769
0.03125,0.7211538461538461
0.041666666666666664,0.7211538461538461
0.041666666666666664,0.7403846153846154
0.041666666666666664,0.7596153846153846
0.052083333333333336,0.7692307692307693
0.0625,0.7692307692307693
0.0625,0.7980769230769231
0.0625,0.8173076923076923
0.07291666666666667,0.8269230769230769
0.08333333333333333,0.8269230769230769
0.09375,0.8365384615384616
0.09375,0.8461538461538461
0.11458333333333333,0.8461538461538461
0.11458333333333333,0.8653846153846154
0.14583333333333334,0.8653846153846154
0.15625,0.8846153846153846
0.1875,0.8846153846153846
0.20833333333333334,0.8846153846153846
0.21875,0.8846153846153846
0.21875,0.9038461538461539
0.23958333333333334,0.9038461538461539
0.25,0.9038461538461539
0.25,0.9134615384615384
0.2604166666666667,0.9134615384615384
0.2604166666666667,0.9326923076923077
0.2604166666666667,0.9423076923076923
0.2708333333333333,0.9519230769230769
0.28125,0.9519230769230769
0.2916666666666667,0.9615384615384616
0.2916666666666667,0.9711538461538461
0.3333333333333333,0.9711538461538461
0.3541666666666667,0.9711538461538461
0.40625,0.9807692307692307
1.0,1.0
